CLUSTER_ID,TRAJECTORY_ID,EASTINGS_M,NORTHINGS_M,ALTITUDE_M
1,0,1077662.152,4498993.98,0
1,0,1077667.043,4499221.863,0
1,0,1077660.95,4499292.604,0
1,0,1077654.856,4499354.128,0
1,0,1077624.871,4499425.647,0
1,0,1077580.213,4499492.613,0
1,0,1077548.383,4499540.921,0
1,0,1077519.039,4499871.307,0
1,0,1077503.164,4500054.324,0
1,0,1077481.116,4500097.524,0
1,0,1077441.99,4500326.739,0
1,0,1077444.396,4500477.55,0
1,0,1077444.396,4500555.066,0
1,0,1077444.396,4500599.155,0
1,0,1077445.679,4500636.469,0
1,0,1077446.24,4500702.546,0
1,0,1077446.881,4500758.406,0
1,0,1077447.442,4500835.922,0
1,0,1077375.926,4500847.36,0
1,0,1077342.894,4500848.693,0
1,1,-54149.40423,4645666.552,0
1,1,-54150.60686,4645641.12,0
1,1,-54146.91879,4645616.577,0
1,1,-54152.4509,4645592.812,0
1,1,-54169.60845,4645575.043,0
1,1,-54186.12461,4645566.159,0
1,1,-54169.60845,4645563.605,0
1,1,-54153.0923,4645563.605,0
1,1,-54132.24667,4645563.605,0
1,1,-54105.94911,4645563.605,0
1,1,-54075.96347,4645564.937,0
1,1,-54043.57257,4645564.937,0
1,1,-54016.07237,4645564.937,0
1,1,-53985.44533,4645564.937,0
1,1,-53954.25706,4645563.605,0
1,1,-53924.27142,4645563.605,0
1,1,-53871.6763,4645569.935,0
1,1,-53838.08276,4645598.364,0
1,1,-53819.08117,4645614.023,0
1,1,-53797.0329,4645631.014,0
1,1,-53775.62605,4645646.229,0
1,1,-53757.90726,4645660.222,0
1,1,-53737.14181,4645675.88,0
1,1,-53698.01616,4645708.53,0
1,1,-53668.03053,4645733.961,0
1,1,-53638.04489,4645759.393,0
1,1,-53610.54469,4645777.161,0
1,1,-53564.0429,4645777.161,0
1,1,-53528.52516,4645778.05,0
1,1,-53480.82073,4645778.05,0
1,1,-53416.60016,4645778.383,0
1,1,-53347.48888,4645778.383,0
1,1,-53301.62849,4645777.161,0
1,1,-53256.97074,4645778.05,0
1,1,-53209.82754,4645778.05,0
1,1,-53159.71786,4645779.271,0
1,1,-53122.35607,4645779.271,0
1,1,-53089.96517,4645778.383,0
1,1,-53068.55831,4645778.383,0
1,1,-53050.83953,4645778.05,0
1,1,-53033.04057,4645778.05,0
1,1,-52997.60299,4645778.383,0
1,1,-52960.88262,4645779.271,0
1,1,-52922.9596,4645779.271,0
1,1,-52880.78729,4645779.271,0
1,1,-52834.84673,4645779.716,0
1,1,-52781.69037,4645780.493,0
1,1,-52726.6098,4645780.493,0
1,1,-52675.85871,4645779.271,0
1,1,-52630.55956,4645779.271,0
1,1,-52584.69917,4645784.38,0
1,1,-52566.98038,4645818.251,0
1,1,-52569.38565,4645863.561,0
1,1,-52570.66846,4645901.653,0
1,1,-52570.66846,4645934.303,0
1,1,-52592.63654,4645962.733,0
1,1,-52620.77814,4645962.733,0
1,1,-52644.67044,4645962.733,0
1,1,-52698.4682,4645962.733,0
1,1,-52831.23883,4645962.733,0
1,1,-53067.35568,4645961.4,0
1,1,-53535.2599,4645961.4,700
1,1,-54016.07237,4645961.4,700
1,1,-54512.75959,4645957.624,850
1,1,-54966.6331,4645956.403,1125
1,1,-55452.33628,4645951.294,1525
1,1,-56423.02106,4645920.754,2200
